pk,year1,year2,year3
1,9089300,9543900,9998400
2,8132400,8539200,8945800
3,7303100,7668100,8033400
4,6584400,6913700,7243000
5,5962600,6260500,6558700
6,5415500,5686300,5957300
7,4943700,5191100,5438000
8,4529100,4755600,4982100
9,4163100,4371500,4579500
10,3955000,4152700,4350300
11,3757200,3945200,4133200
12,3569500,3748100,3926500
13,3390900,3560600,3730100
14,3221600,3382600,3543900
15,3060100,3213200,3366200
16,2907300,3052700,3198200
17,2761800,2900000,3038100
18,2623900,2755000,2886300
19,2505700,2630900,2756500
20,2405400,2525600,2645700
21,2309100,2424700,2540200
22,2216900,2327700,2438500
23,2128300,2234900,2340900
24,2043200,2145400,2247600
25,1961300,2059300,2157600
26,1896400,1991000,2085900
27,1841600,1933700,2026000
28,1830200,1922000,2013400
29,1817100,1907800,1998700
30,1803800,1893900,1984400